FID,objectid,shape_area,shape_len,zip
0,33,106052287.5,42720.04441,60647
1,34,127476050.8,48103.78272,60639
2,35,45069038.48,27288.60961,60707
3,36,70853834.38,42527.98968,60622
4,37,99039621.25,47970.14015,60651
5,38,23506055.73,34689.35063,60611
6,39,166166339.1,67710.64674,60638
7,40,128309832.2,48187.94988,60652
8,1,49170578.96,33983.91331,60626
9,8,66565454.85,38321.31377,60615
10,9,104746821.1,42299.92039,60621
11,2,62181473.52,32075.59942,60645
12,13,183013076.3,59337.80744,60643
13,3,37984388.84,27307.81384,60660
14,4,77305245.71,48985.8713,60640
15,32,94460631.81,50587.34738,60614
16,41,107117591.9,68289.75158,60631
17,42,117890054.1,62633.13982,60646
18,43,345241692.2,83748.99199,60628
19,5,105830918,42524.11048,60625
20,6,113903341.1,42682.98295,60641
21,7,63547755.92,45646.48803,60657
22,10,104114706.7,42448.28284,60636
23,11,80526076.09,55092.86329,60649
24,12,452837422,102528.0361,60617
25,14,187526657.2,59703.21582,60633
26,15,3136688.225,7175.092168,60643
27,16,106718949.4,42663.19668,60612
28,48,4294901.994,12245.8084,60604
29,17,99418122.47,40394.41001,60624
30,47,89515884.46,84430.97322,60656
31,18,99092221.54,40030.83853,60644
32,49,115380139.1,77392.32261,60655
33,19,4560228.982,13672.68229,60603
34,20,36301276.35,37973.34611,60605
35,21,67759827.81,34316.36154,60653
36,22,213490325.3,58540.92041,60609
37,23,282085137.6,101876.5537,60666
38,24,141235867.5,47847.08038,60618
39,25,109667069.4,45823.53984,60616
40,26,4847124.817,14448.17499,60602
41,27,9166245.8,19804.58211,60601
42,28,176505462.5,53169.21772,60608
43,29,64664293.94,39143.63952,60607
44,30,9357755.68,13132.56549,60661
45,31,6766410.898,12040.44024,60606
46,44,48551330.39,28833.96376,60827
47,45,131073763.1,49198.94028,60630
48,46,47961494.4,31296.22714,60642
49,50,69698411.44,38931.52666,60659
50,51,3450671.143,7909.890407,60707
51,52,194062612.2,77647.31801,60634
52,53,53990894.88,31196.32066,60613
53,54,31598157.09,24208.69888,60610
54,55,15869961.35,17119.69888,60654
55,56,211755252.6,63253.23867,60632
56,57,155285532,53406.91562,60623
57,58,211114779.4,58701.32537,60629
58,59,211696051,58466.1603,60620
59,60,125424284.2,52377.85454,60637
60,61,167872012.6,53040.90708,60619
