agency,debtcode,zip,city,state,offset_count,offset_amt,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,00000,SINGAPORE 259404,FN,1,378.5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,00000,VILLA PARK,IL,1,3,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,00000,CHGO,IL,1,458.72,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,00000,ARENDAL AUST-AGDER,FN,1,189,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,00000,SHANGHAI SHANGHAI,FN,1,14,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,00000,,,33,6007.16,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,00000,LONDON SW117AQ,FN,1,19,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,00000,BARCELONA BARCELON,FN,1,11,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,00000,OSAKA 5560002,FN,1,90,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,00000,CHICAGO,IL,1,35,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,00000,GERMANY,FN,1,71.15,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,00646,DORADO,PR,1,183,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,00730,PONCE,PR,1,54,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,00765,VIEQUES,PR,1,64,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,00909,SAN JUAN,PR,1,5.5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,02119,BOSTON,MA,1,22,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,02130,JAMAICA PLAIN,MA,1,146.4,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,02215,BOSTON,MA,1,31,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,02790,WESTPORT,MA,1,84,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,02886,WARWICK,RI,1,109.69,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,02903,PROVIDENCE,RI,1,59,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,02909,PROVIDENCE,RI,2,169.5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,03801,PORTSMOUTH,NH,2,66.5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,04101,PORTLAND,ME,1,77.4,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,05149,LUDLOW,VT,1,106,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,06095,WINDSOR,CT,2,10.37,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,06473,NORTH HAVEN,CT,1,146.4,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,06518,HAMDEN,CT,1,16,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,06901,STAMFORD,CT,1,119,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,07028,GLEN RIDGE,NJ,1,29.2,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,07030,HOBOKEN,NJ,1,75,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,07032,KEARNY,NJ,1,133.57,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,07093,WEST NEW YORK,NJ,1,0.58,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,07104,NEWARK,NJ,1,22,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,07307,JERSEY CITY,NJ,1,292.8,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,07751,MORGANVILLE,NJ,1,122.76,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,08009,BERLIN,NJ,1,1.5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,08051,MANTUA,NJ,1,90,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,08540,PRINCETON,NJ,1,40,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,08854,PISCATAWAY,NJ,1,8.25,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,10001,NEW YORK,NY,1,21,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,10011,NEW YORK,NY,3,127.4,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,10012,NEW YORK,NY,1,512.4,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,10018,NEW YORK,NY,1,83,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,10032,NEW YORK,NY,2,90.83,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,10033,NEW YORK,NY,2,146.4,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,10036,NEW YORK,NY,1,243.5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,10065,NEW YORK,NY,1,26,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,10112,NEW YORK CITY,NY,1,28.4,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,10601,WHITE PLAINS,NY,1,207.4,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,10705,YONKERS,NY,1,5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,11205,BROOKLYN,NY,1,135.78,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,11213,BROOKLYN,NY,1,10.5,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,11215,BROOKLYN,NY,1,455.11,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,11221,BROOKLYN,NY,1,183,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,13039,CICERO,NY,5,87.01,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,13360,INLET,NY,1,66.33,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,14526,PENFIELD,NY,1,3.71,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,15106,CARNEGIE,PA,1,36,,,,,,,,,,,,,,,,,,,,
70110,AA - PARKING,15202,AVALON,PA,1,2.66,,,,,,,,,,,,,,,,,,,,
